prompt,layer_14,layer_13,layer_2,layer_5,layer_4,layer_3,layer_12,cfg,layer_15,layer_9,layer_0,layer_7,layer_18,layer_16,layer_11,layer_10,layer_17,layer_6,layer_1,layer_8
prompt_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_39,0.9948480725288391,0.9948910474777222,0.0,0.9913655817508698,0.9806118011474609,0.9746886193752289,0.9948787987232208,0.9882358014583588,0.9696516692638397,0.9909612834453583,0.0,0.9949519038200378,0.9945477843284607,0.9824153482913971,0.9869338870048523,0.9923244118690491,0.9913963079452515,0.9954464137554169,0.9717612862586975,0.9903848767280579
prompt_4,0.0,0.0,0.8220767974853516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_9,0.8675521612167358,0.9045425057411194,0.0,0.8814007043838501,0.0,0.7431856393814087,0.8654762506484985,0.8560138940811157,0.8623156547546387,0.8990870714187622,0.0,0.9153841435909271,0.876627504825592,0.791954517364502,0.8591750860214233,0.8590980172157288,0.8453553915023804,0.9276138544082642,0.0,0.8870379030704498
prompt_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_43,0.0,0.9775267839431763,0.0,0.9871206283569336,0.9946570992469788,0.9832124412059784,0.9946755170822144,0.9999061226844788,0.9776809811592102,0.9916829168796539,0.9723123908042908,0.9954683780670166,0.0,0.0,0.992198258638382,0.9955782294273376,0.9975046515464783,0.9989398717880249,0.0,0.0
prompt_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_49,0.0,0.0,0.0,0.996422678232193,0.9982784390449524,0.9951962828636169,0.0,0.9974941611289978,0.9972818493843079,0.9967913627624512,0.0,0.9959858655929565,0.9954122304916382,0.0,0.0,0.9973499774932861,0.0,0.0,0.0,0.0
prompt_71,0.9678432941436768,0.9018743634223938,0.9964650273323059,0.921928882598877,0.9935037791728973,0.7757812440395355,0.9406703114509583,0.9715145826339722,0.994850218296051,0.981408953666687,0.0,0.9967600703239441,0.9488877058029175,0.9595778584480286,0.9436815977096558,0.9611683487892151,0.9664878845214844,0.9930550456047058,0.0,0.9630111455917358
prompt_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_50,0.9278673529624939,0.9838415384292603,0.9825334548950195,0.985356867313385,0.9797097444534302,0.9843734502792358,0.9540761113166809,0.9817264676094055,0.9950049519538879,0.9530714750289917,0.0,0.9920264482498169,0.9983541965484619,0.0,0.9611447751522064,0.9973663687705994,0.9462013244628906,0.9715233445167542,0.0,0.98689204454422
