prompt,layer_8,layer_6,layer_1,layer_20,layer_27,layer_12,layer_15,layer_0,layer_7,layer_9,layer_14,layer_13,layer_26,layer_21,layer_19,layer_10,layer_17,layer_22,layer_25,layer_4,layer_3,cfg,layer_24,layer_23,layer_16,layer_11,layer_18,layer_2,layer_5
prompt_88,0.0,0.0,0.7897641658782959,0.0,0.0,0.6407520174980164,0.0,0.0,0.0,0.0,0.7600708603858948,0.0,0.0,0.0,0.0,0.0,0.0,0.7715720534324646,0.0,0.9918960928916931,0.0,0.0,0.0,0.0,0.0,0.0,0.9831757545471191,0.0,0.0
prompt_30,0.9976263642311096,0.0,0.0,0.9993747472763062,0.0,0.0,0.0,0.0,0.9820988774299622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8568422198295593,0.6002330780029297,0.0,0.0,0.9949409365653992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_47,0.9829926490783691,0.0,0.6509547233581543,0.0,0.0,0.9100474715232849,0.0,0.0,0.0,0.0,0.0,0.9819274544715881,0.0,0.9777329564094543,0.0,0.0,0.7607458829879761,0.0,0.0,0.9855896830558777,0.0,0.7845265865325928,0.8728275299072266,0.0,0.0,0.0,0.0,0.0,0.0
prompt_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_75,0.975170373916626,0.9157450199127197,0.9462968707084656,0.9866279065608978,0.0,0.9981282353401184,0.9829953014850616,0.0,0.9239131808280945,0.8671152889728546,0.9989352822303772,0.9410475194454193,0.0,0.9792099297046661,0.940934956073761,0.9427225589752197,0.9172537326812744,0.8317517042160034,0.0,0.9987879991531372,0.990058422088623,0.9536901414394379,0.9554208517074585,0.9992637634277344,0.9996738433837891,0.8733184039592743,0.953841358423233,0.0,0.8687856495380402
prompt_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9237480163574219,0.0,0.0,0.9487088322639465,0.0,0.0,0.9922537207603455,0.0,0.0
prompt_45,0.9847277998924255,0.9953802227973938,0.9504327178001404,0.9963435530662537,0.0,0.9851334095001221,0.9969758987426758,0.9920973777770996,0.9972742795944214,0.9928925633430481,0.9981086254119873,0.9953600764274597,0.0,0.9959951639175415,0.9905472695827484,0.9894134402275085,0.9974952340126038,0.9931265115737915,0.0,0.9714791178703308,0.9961766302585602,0.9969727396965027,0.9979313611984253,0.9935059249401093,0.9958041310310364,0.9948163032531738,0.9959458708763123,0.0,0.9983564615249634
prompt_38,0.0,0.0,0.9009587168693542,0.0,0.0,0.0,0.0,0.7831876873970032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9656752943992615,0.0,0.0,0.0,0.0,0.0
prompt_99,0.0,0.0,0.9921099543571472,0.0,0.0,0.0,0.0,0.0,0.9864785671234131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8148767948150635,0.0,0.0,0.9909319877624512,0.0,0.0,0.9879515171051025,0.0,0.0,0.0,0.0,0.0
prompt_77,0.0,0.0,0.6568138599395752,0.0,0.0,0.0,0.0,0.9323713183403015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9753990173339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_8,0.930474191904068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8917527794837952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9524409770965576,0.0,0.0,0.0,0.0,0.0,0.0,0.9838715195655823,0.0,0.0,0.0,0.9907580614089966
prompt_2,0.9969167113304138,0.0,0.0,0.9974687099456787,0.0,0.9966423511505127,0.99806809425354,0.0,0.9942629933357239,0.0,0.0,0.9770878553390503,0.0,0.994296669960022,0.0,0.996735692024231,0.0,0.977554202079773,0.0,0.9995033740997314,0.9521768093109131,0.0,0.8708515763282776,0.9635915756225586,0.9709942936897278,0.0,0.0,0.0,0.996215283870697
prompt_21,0.0,0.9650896787643433,0.0,0.9991629123687744,0.0,0.9904971122741699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951980113983154,0.9727668762207031,0.9920186996459961,0.0,0.0,0.9978853464126587,0.0,0.9930359721183777,0.9868313670158386,0.9805512428283691,0.0,0.0,0.0,0.8996672034263611,0.0,0.0
prompt_56,0.0,0.9916847348213196,0.0,0.0,0.0,0.0,0.0,0.9603747725486755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963418841362,0.0,0.0,0.9937140941619873,0.0,0.0
prompt_19,0.9875777363777161,0.9931505918502808,0.0,0.9487925469875336,0.0,0.9988554120063782,0.0,0.0,0.9345286190509796,0.9850123524665833,0.9832350313663483,0.9931949377059937,0.0,0.9853017628192902,0.9943139553070068,0.99258953332901,0.9850200116634369,0.993121862411499,0.9837416410446167,0.9885451197624207,0.9898485839366913,0.9919383525848389,0.987005889415741,0.9926815032958984,0.994407057762146,0.9914555549621582,0.9916382431983948,0.0,0.993649959564209
