prompt,layer_10,layer_17,layer_19,layer_6,layer_1,layer_22,layer_8,cfg,layer_9,layer_23,layer_0,layer_7,layer_18,layer_16,layer_11,layer_20,layer_4,layer_3,layer_12,layer_15,layer_14,layer_13,layer_2,layer_5,layer_21
prompt_86,0.0,0.0,0.0,0.0,0.6223510503768921,0.0,0.0,0.9975622892379761,0.0,0.0,0.0,0.0,0.9856498837471008,0.0,0.0,0.0,0.0,0.7171746492385864,0.0,0.6865631341934204,0.0,0.0,0.0,0.0,0.0
prompt_62,0.9827700853347778,0.9942228198051453,0.0,0.9938868880271912,0.9926378726959229,0.0,0.997875452041626,0.9930322170257568,0.963283360004425,0.0,0.9309720396995544,0.9972289204597473,0.8384108543395996,0.9867336750030518,0.9919780492782593,0.0,0.9978251457214355,0.8752408623695374,0.9981884360313416,0.9950668215751648,0.0,0.8011177182197571,0.9958430528640747,0.9741631746292114,0.9980394840240479
prompt_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_34,0.9847742915153503,0.9830806851387024,0.9898037910461426,0.9881700873374939,0.0,0.0,0.9919918775558472,0.9855162501335144,0.9863172769546509,0.0,0.9236440658569336,0.9946741461753845,0.9941345453262329,0.9681773781776428,0.982449471950531,0.9754699468612671,0.976971447467804,0.0,0.9836022853851318,0.9876929521560669,0.9873720407485962,0.9835566878318787,0.990031898021698,0.989244282245636,0.9797640442848206
prompt_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_49,0.9845153093338013,0.9553731679916382,0.9765559434890747,0.9600496292114258,0.998389482498169,0.0,0.976321816444397,0.9666212797164917,0.9824643731117249,0.0,0.9913452863693237,0.9772364795207977,0.990229606628418,0.9598402976989746,0.9760639667510986,0.6873506307601929,0.9645929336547852,0.9683941602706909,0.8909146785736084,0.9451523423194885,0.7977032661437988,0.950830340385437,0.9865362644195557,0.6855183839797974,0.0
prompt_71,0.8834922313690186,0.0,0.0,0.9925894737243652,0.8428456783294678,0.0,0.568840742111206,0.7008713483810425,0.0,0.0,0.0,0.9804171919822693,0.9065658450126648,0.9420734643936157,0.6348360776901245,0.7308791875839233,0.9702053666114807,0.0,0.6392757296562195,0.9601699113845825,0.703955888748169,0.9357057809829712,0.8436229825019836,0.0,0.0
prompt_95,0.9879752397537231,0.9919108152389526,0.9910598397254944,0.9823707938194275,0.9455597698688507,0.0,0.9890230298042297,0.982745885848999,0.9902590215206146,0.0,0.970486581325531,0.9362578392028809,0.988740086555481,0.9808173179626465,0.9911443591117859,0.9907878339290619,0.9864944517612457,0.9828983247280121,0.9923437237739563,0.983706146478653,0.9722131490707397,0.9581672549247742,0.9888246655464172,0.9948837757110596,0.9847940504550934
prompt_6,0.9108464121818542,0.9237644672393799,0.8928380608558655,0.937950074672699,0.7049843668937683,0.0,0.930754542350769,0.893237292766571,0.9349830150604248,0.0,0.0,0.9185019135475159,0.8897348642349243,0.861880898475647,0.919873833656311,0.9526954889297485,0.9325193762779236,0.9186314940452576,0.8183865547180176,0.8860205411911011,0.7155925631523132,0.9352937340736389,0.9410403966903687,0.9020418524742126,0.9704670310020447
prompt_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8907027840614319,0.0,0.0
